Title,SKU,Price,EAN,Stock,base_model,is_variable,storage,ram,color,category
Samsung A057G-DSN Galaxy A05s Dual LTE 64GB 4GB RAM Light Green (8806095268484) - EU Spec,1009-131282,87.00,8806095268484,49,Samsung A057G-DSN Galaxy A05s,True,64GB,4GB,Green,phone
Samsung A057G-DSN Galaxy A05s Dual LTE 128GB 4GB RAM Black (8806095268330) - EU Spec,1009-130896,98.00,8806095268330,50,Samsung A057G-DSN Galaxy A05s,True,128GB,4GB,Black,phone
Samsung A057G-DSN Galaxy A05s Dual LTE 128GB 4GB RAM Light Green (8806095268439) - EU Spec,1009-130786,97.00,8806095268439,49,Samsung A057G-DSN Galaxy A05s,True,128GB,4GB,Green,phone
Samsung A165F-DSB Galaxy A16 Dual LTE 128GB 4GB RAM Light Green (8806095822990) - EU Spec,1009-131632,129.00,8806095822990,50,Samsung A165F-DSB Galaxy A16,True,128GB,4GB,Green,phone
Samsung A166B-DS Galaxy A16 Dual 5G 128GB 4GB RAM Blue Black (8806095781730) - EU Spec,1009-131566,145.00,8806095781730,50,Samsung A166B-DS Galaxy A16,True,128GB,4GB,Black,phone
Samsung A166B-DS Galaxy A16 Dual 5G 128GB 4GB RAM Light Gray (8806095795768) - EU Spec,1009-131565,145.00,8806095795768,50,Samsung A166B-DS Galaxy A16,True,128GB,4GB,Gray,phone
Samsung A166B-DS Galaxy A16 Dual 5G 128GB 4GB RAM Light Green (8806095781853) - EU Spec,1009-131564,145.00,8806095781853,50,Samsung A166B-DS Galaxy A16,True,128GB,4GB,Green,phone
Samsung A165F-DSB Galaxy A16 Dual LTE 128GB 4GB RAM Gray (8806095822846) - EU Spec,1009-131642,129.00,8806095822846,50,Samsung A165F-DSB Galaxy A16,True,128GB,4GB,Gray,phone
Samsung A256B-DSN Galaxy A25 Dual 5G 256GB 8GB RAM Yellow (8806095382654) - EU Spec,1009-130775,187.00,8806095382654,19,Samsung A256B-DSN Galaxy A25,False,256GB,8GB,Yellow,phone
Samsung A356B-DS Galaxy A35 Dual 5G 128GB 6GB RAM Awesome Navy (8806095457864) - EU Spec,1009-131028,197.00,8806095457864,50,Samsung A356B-DS Galaxy A35,True,128GB,6GB,Blue,phone
Samsung A356B-DS Galaxy A35 Dual 5G 128GB 6GB RAM Awesome Lemon (8806095457734) - EU Spec,1009-131036,195.00,8806095457734,49,Samsung A356B-DS Galaxy A35,True,128GB,6GB,N/A,phone
Samsung A356B-DS Galaxy A35 Dual 5G 128GB 6GB RAM Awesome Lilac (8806095457970) - EU Spec,1009-131024,197.00,8806095457970,50,Samsung A356B-DS Galaxy A35,True,128GB,6GB,N/A,phone
Samsung A556B-DS Galaxy A55 Dual 5G 128GB 8GB RAM Awesome Iceblue (8806095467375) - EU Spec,1009-131025,265.00,8806095467375,50,Samsung A556B-DS Galaxy A55,True,128GB,8GB,N/A,phone
Samsung A556B-DS Galaxy A55 Dual 5G 128GB 8GB RAM Awesome Lemon (8806095467535) - EU Spec,1009-131026,265.00,8806095467535,50,Samsung A556B-DS Galaxy A55,True,128GB,8GB,N/A,phone
Samsung A556B-DS Galaxy A55 Dual 5G 128GB 8GB RAM Awesome Navy (8806095467146) - EU Spec,1009-131004,265.00,8806095467146,50,Samsung A556B-DS Galaxy A55,True,128GB,8GB,Blue,phone
Samsung S921B-DS Galaxy S24 Dual 5G 128GB 8GB RAM Cobalt Violet (8806095299686) - EU Spec,1009-130871,499.00,8806095299686,49,Samsung S921B-DS Galaxy S24,True,128GB,8GB,Purple,phone
Samsung S921B-DS Galaxy S24 Dual 5G 128GB 8GB RAM Marble Gray (8806095299815) - EU Spec,1009-130867,499.00,8806095299815,50,Samsung S921B-DS Galaxy S24,True,128GB,8GB,Gray,phone
Samsung S926B-DS Galaxy S24+ Dual 5G 256GB 12GB RAM Amber Yellow (8806095307039) - EU Spec,1009-131042,690.00,8806095307039,4,Samsung S926B-DS Galaxy S24,False,256GB,12GB,Yellow,phone
Samsung S928B-DS Galaxy S24 Ultra Dual 5G 256GB 12GB RAM Titanium Black (8806095414584) - EU Spec,1009-130873,788.00,8806095414584,49,Samsung S928B-DS Galaxy S24,True,256GB,12GB,Black,phone
Samsung S928B-DS Galaxy S24 Ultra Dual 5G 512GB 12GB RAM Titanium Black (8806095308180) - EU Spec,1009-130937,872.00,8806095308180,50,Samsung S928B-DS Galaxy S24,True,512GB,12GB,Black,phone
Samsung S928B-DS Galaxy S24 Ultra Dual 5G 512GB 12GB RAM Titanium Gray (8806095309200) - EU Spec,1009-130875,875.00,8806095309200,50,Samsung S928B-DS Galaxy S24,True,512GB,12GB,Gray,phone
Ulefone Armor 20WT Dual LTE 256GB 12GB RAM Black (6937748735243) - EU Spec,1042-130246-20453,206.00,6937748735243,4,Ulefone Armor 20WT Dual,False,256GB,12GB,Black,phone
Ulefone Armor 21 Dual LTE 256GB 8GB RAM Black (6937748735366) - EU Spec,1042-130412,168.00,6937748735366,49,Ulefone Armor 21 Dual,False,256GB,8GB,Black,phone
Ulefone Armor 22 Dual LTE 128GB 8GB RAM Black (6937748735496) - EU Spec,1042-130409-20525,131.00,6937748735496,49,Ulefone Armor 22 Dual,True,128GB,8GB,Black,phone
Ulefone Armor 22 Dual LTE 128GB 8GB RAM Green (6937748735540) - EU Spec,1042-130411-20524,131.00,6937748735540,49,Ulefone Armor 22 Dual,True,128GB,8GB,Green,phone
Ulefone Armor 22 Dual LTE 256GB 8GB RAM Black (6937748735595) - EU Spec,1042-130408-20528,162.00,6937748735595,29,Ulefone Armor 22 Dual,True,256GB,8GB,Black,phone
Ulefone Armor 22 Dual LTE 256GB 8GB RAM Green (6937748735601) - EU Spec,1042-130410-20529,162.00,6937748735601,29,Ulefone Armor 22 Dual,True,256GB,8GB,Green,phone
Ulefone Armor 23 Ultra Dual LTE 512GB 12GB RAM Black (6937748735953) - EU Spec,1042-130880-20783,318.00,6937748735953,19,Ulefone Armor 23 Ultra Dual,False,512GB,12GB,Black,phone
Ulefone Armor 24 Dual LTE 256GB 12GB RAM Black (6937748735670) - EU Spec,1042-130620-20653,195.00,6937748735670,50,Ulefone Armor 24 Dual,False,256GB,12GB,Black,phone
Ulefone Armor 25T Dual LTE 256GB 6GB RAM Black (6975326662871) - EU Spec,1042-131309-21051,236.00,6975326662871,50,Ulefone Armor 25T Dual,False,256GB,6GB,Black,phone
Ulefone Armor 25T Pro Dual 5G 256GB 6GB RAM Black (6937748736127) - EU Spec,1042-131262-21009,264.00,6937748736127,50,Ulefone Armor 25T Pro Dual,False,256GB,6GB,Black,phone
Ulefone Armor 26 Ultra Dual 5G 512GB 12GB RAM Black (6937748736097) - EU Spec,1042-131261-21012,349.00,6937748736097,19,Ulefone Armor 26 Ultra Dual,False,512GB,12GB,Black,phone
Ulefone Armor 26 Ultra Dual 5G 512GB 12GB RAM Black (Walkie Talkie Version) (6937748736226) - EU Spec,1042-131260-21011,399.00,6937748736226,19,Ulefone Armor 26 Ultra Dual,False,512GB,12GB,Black,phone
Ulefone Armor 27 Dual 5G 256GB 12GB RAM Black (with night vision) (6975326663892) - EU Spec,1042-131699-21250,225.00,6975326663892,49,Ulefone Armor 27 Dual,False,256GB,12GB,Black,phone
Ulefone Armor 27 Pro Dual 5G 256GB 12GB RAM Black (with night vision) (6975326662840) - EU Spec,1042-131542-21159,258.00,6975326662840,49,Ulefone Armor 27 Pro Dual,False,256GB,12GB,Black,phone
Ulefone Armor 27T Dual 5G 256GB 12GB RAM Black (with thermal imaging and night vision) (6975326663885) - EU Spec,1042-131700-21251,274.00,6975326663885,49,Ulefone Armor 27T Dual,False,256GB,12GB,Black,phone
Ulefone Armor 27T Pro Dual 5G 256GB 12GB RAM Black (with thermal imaging) (6975326662833) - EU Spec,1042-131476-21162,312.00,6975326662833,29,Ulefone Armor 27T Pro Dual,False,256GB,12GB,Black,phone
Ulefone Armor Mini 20 Pro Dual 5G 256GB 8GB RAM Black (6975326663243) - EU Spec,1042-131698-21256,232.00,6975326663243,49,Ulefone Armor Mini 20 Pro Dual,False,256GB,8GB,Black,phone
Ulefone Armor Mini 20T Pro Dual 5G 256GB 8GB RAM Black (6975326663236) - EU Spec,1042-131697-21254,299.00,6975326663236,49,Ulefone Armor Mini 20T Pro Dual,False,256GB,8GB,Black,phone
Ulefone Armor X12 Pro Dual LTE 64GB 4GB RAM Black (6937748735427) - EU Spec,1042-130415-20526,84.00,6937748735427,49,Ulefone Armor X12 Pro Dual,True,64GB,4GB,Black,phone
Ulefone Armor X12 Pro Dual LTE 64GB 4GB RAM Green (6937748735526) - EU Spec,1042-130416-20527,84.00,6937748735526,49,Ulefone Armor X12 Pro Dual,True,64GB,4GB,Green,phone
Ulefone Armor X12 Pro Dual LTE 64GB 4GB RAM Orange (6937748735519) - EU Spec,1042-130417-20521,84.00,6937748735519,49,Ulefone Armor X12 Pro Dual,True,64GB,4GB,Orange,phone
Ulefone Armor X13 Dual LTE 64GB 6GB RAM Black (6937748735472) - EU Spec,1042-130413-20523,99.00,6937748735472,49,Ulefone Armor X13 Dual,True,64GB,6GB,Black,phone
Ulefone Armor X13 Dual LTE 64GB 6GB RAM Orange (6937748735533) - EU Spec,1042-130414-20522,97.00,6937748735533,49,Ulefone Armor X13 Dual,True,64GB,6GB,Orange,phone
Ulefone Note 17 Pro Dual LTE 256GB 12GB RAM Black (6937748736042) - EU Spec,1042-130999-20878,183.00,6937748736042,4,Ulefone Note 17 Pro Dual,False,256GB,12GB,Black,phone
Ulefone Note 18 Ultra Dual 5G 256GB 6GB RAM Black (6937748736141) - EU Spec,1042-131310-21053,133.00,6937748736141,4,Ulefone Note 18 Ultra Dual,True,256GB,6GB,Black,phone
Ulefone Note 18 Ultra Dual 5G 256GB 6GB RAM White (6937748736165) - EU Spec,1042-131311-21052,133.00,6937748736165,19,Ulefone Note 18 Ultra Dual,True,256GB,6GB,White,phone
Ulefone Note 18 Ultra Dual 5G 256GB 6GB RAM Gray (6937748736158) - EU Spec,1042-131312-21054,133.00,6937748736158,4,Ulefone Note 18 Ultra Dual,True,256GB,6GB,Gray,phone
Ulefone Power Armor 16s Dual LTE 128GB 8GB RAM Black (6937748736059) - EU Spec,1042-131047-20902,134.00,6937748736059,29,Ulefone Power Armor 16s Dual,True,128GB,8GB,Black,phone
Ulefone Power Armor 16s Dual LTE 128GB 8GB RAM Orange (6937748736066) - EU Spec,1042-131048-20901,134.00,6937748736066,29,Ulefone Power Armor 16s Dual,True,128GB,8GB,Orange,phone
Ulefone Power Armor 17 Pro Dual LTE 256GB 8GB RAM Black (6937748735083) - EU Spec,1042-130248-20456,178.00,6937748735083,29,Ulefone Power Armor 17 Pro Dual,False,256GB,8GB,Black,phone
Ulefone Power Armor 18 Ultra Version Dual 5G 512GB 12GB RAM Black (6937748735755) - EU Spec,1042-130622-20654,281.00,6937748735755,19,Ulefone Power Armor 18 Ultra Version Dual,False,512GB,12GB,Black,phone
Ulefone Power Armor 18T Ultra version Dual 5G 512GB 12GB RAM Black (6937748735748) - EU Spec,1042-130621-20655,410.00,6937748735748,49,Ulefone Power Armor 18T Ultra version Dual,False,512GB,12GB,Black,phone
Ulefone Power Armor 19 Dual LTE 256GB 12GB RAM Black (6937748735236) - EU Spec,1042-129540-20147,222.00,6937748735236,19,Ulefone Power Armor 19 Dual,False,256GB,12GB,Black,phone
Ulefone Power Armor 19T Dual LTE 256GB 12GB RAM Black (6937748735298) - EU Spec,1042-130247,315.00,6937748735298,29,Ulefone Power Armor 19T Dual,False,256GB,12GB,Black,phone
Xiaomi Redmi A3 Dual LTE 64GB 3GB RAM Forest Green (6941812768150) - EU Spec,1003-131155-20935,59.00,6941812768150,19,Xiaomi Redmi A3 Dual,False,64GB,3GB,Green,phone
Apple Lightning USB-C Cable MQGH2ZM-A (190198496201) - EU Spec,47001-131656-21247,12.00,190198496201,49,Apple Lightning USB,False,N/A,N/A,N/A,accessory
Apple Power Charger 20W USB-C MHJE3ZMA (194252157022) - EU Spec,48001-129254,14.00,194252157022,49,Apple Power Charger 20W USB,False,N/A,N/A,N/A,accessory
Apple USB-C Cable (1M) MQKJ3ZM-A (194253494850) - EU Spec,47001-131654-21246,12.00,194253494850,49,Apple USB,False,N/A,N/A,N/A,accessory
Ulefone Smart Keyboard for Tab A11 Pro (6937748736301) - EU Spec,50009-131545-21155,24.00,6937748736301,4,Ulefone Smart Keyboard for Tab A11 Pro,False,N/A,N/A,N/A,accessory
Nintendo Switch 1.1 Neon Red Neon Blue +Switch Sport +Band +12 Month (0045496454012) - EU Spec,30001-131550,237.00,0045496454012,19,Nintendo Switch 1.1 Neon Red Neon Blue +Switch Sport +Band +12 Month,False,N/A,N/A,Blue,console
Nintendo Switch Lite Turquoise + Animal C.N.H. + 12 Month NSO (045496453978) - EU Spec,30001-131553-21164,182.00,045496453978,4,Nintendo Switch Lite Turquoise + Animal C.N.H. + 12 Month NSO,False,N/A,N/A,N/A,console
Nintendo Switch Lite Coral + Animal C.N.H. + 12 Month NSO (0045496453930) - EU Spec,30001-131552,182.00,0045496453930,19,Nintendo Switch Lite Coral + Animal C.N.H. + 12 Month NSO,False,N/A,N/A,N/A,console
Nintendo Switch Lite Turquoise + Animal C.N.H. + 12 Month NSO (045496453954) - EU Spec,30001-131553,182.00,045496453954,19,Nintendo Switch Lite Turquoise + Animal C.N.H. + 12 Month NSO,False,N/A,N/A,N/A,console
Nintendo Switch Lite Hyrule Edition Special Edition + 12 Month NSO (045496453893) - EU Spec,30001-131551,194.00,045496453893,19,Nintendo Switch Lite Hyrule Edition Special Edition + 12 Month NSO,False,N/A,N/A,N/A,console
Sony PlayStation 5 - 1TB Digital Edition Slim White (711719577294) - EU Spec,30003-131140,339.00,711719577294,19,Sony PlayStation 5,False,1GB,N/A,White,console
Sony PlayStation 5 - 1TB Standard Edition Slim White (711719577171) - EU Spec,30003-131384,415.00,711719577171,29,Sony PlayStation 5,False,1GB,N/A,White,console
Sony PlayStation 5 Pro 2TB White (711719595472) - EU Spec,30003-131684,660.00,711719595472,19,Sony PlayStation 5 Pro 2TB White,False,2GB,N/A,White,console
Apple MPNY3TY-A Airpods 3 (2022) with Lightning charging case White (194253324140) - EU Spec,43003-128798,112.00,194253324140,19,Apple MPNY3TY,False,N/A,N/A,White,accessory
Apple MXP93ZM-A Airpods 4 (2024) with Magsafe charging case USB-C (ANC) White (195949689673) - EU Spec,43003-131627,152.00,195949689673,19,Apple MXP93ZM,False,N/A,N/A,White,accessory
Samsung R400N Galaxy Buds FE White (8806095221625) - EU Spec,43003-130526,48.00,8806095221625,19,Samsung R400N Galaxy Buds FE White,False,N/A,N/A,White,accessory
Samsung R530 Galaxy Buds 3 White (8806095645810) - EU Spec,43003-131373,82.00,8806095645810,29,Samsung R530 Galaxy Buds 3 White,False,N/A,N/A,White,accessory
Xiaomi Mi H300 Ionic Hair Dryer White (6934177744259) - EU Spec,73002-126768,20.00,6934177744259,4,Xiaomi Mi H300 Ionic Hair Dryer White,False,N/A,N/A,White,appliance
Apple MGN63TA MacBook Air Apple M1 8 Core 13 inch 256GB 8GB RAM Space Grey (194252056288) - EU Spec,2001-131136,665.00,194252056288,4,Apple MGN63TA MacBook Air Apple M1 8 Core 13 inch 256GB 8GB RAM Space Grey,False,256GB,8GB,Gray,laptop
Apple Watch Series 9 GPS 45mm Starlight Aluminium Case with Starlight Sport Loop MR983ET-A (195949030970) - EU Spec,8001-131653-21211,305.00,195949030970,19,Apple Watch Series 9 GPS 45mm Starlight Aluminium Case with Starlight Sport Loop MR983ET,False,N/A,N/A,Starlight,smartwatch
Apple Watch Series 9 GPS 41mm Silver Aluminium Case with Winter Blue Sport Loop MR923ET-A (195949030314) - EU Spec,8001-131649-21209,287.00,195949030314,4,Apple Watch Series 9 GPS 41mm Silver Aluminium Case with Winter Blue Sport Loop MR923ET,False,N/A,N/A,Silver,smartwatch
Apple Watch Series 9 GPS 45mm Midnight Aluminium Case with Midnight Sport Loop MR9C3ET-A (195949031304) - EU Spec,8001-131650-21210,305.00,195949031304,29,Apple Watch Series 9 GPS 45mm Midnight Aluminium Case with Midnight Sport Loop MR9C3ET,False,N/A,N/A,Black,smartwatch
Apple Watch Series 9 GPS 45mm Pink Aluminium Case with Light Pink Sport Loop MR9J3ET-A (195949031960) - EU Spec,8001-131651-21208,305.00,195949031960,19,Apple Watch Series 9 GPS 45mm Pink Aluminium Case with Light Pink Sport Loop MR9J3ET,False,N/A,N/A,Pink,smartwatch
Apple Watch Series 9 GPS 45mm Silver Aluminium Case with Winter BLue Sport Loop MR9F3ET-A (195949031632) - EU Spec,8001-131652-21207,305.00,195949031632,19,Apple Watch Series 9 GPS 45mm Silver Aluminium Case with Winter BLue Sport Loop MR9F3ET,False,N/A,N/A,Silver,smartwatch
Samsung Galaxy L300 40mm Smart Watch 7 Green (8806095662282) - EU Spec,8004-131371,161.00,8806095662282,49,Samsung Galaxy L300 40mm Smart Watch 7 Green,False,N/A,N/A,Green,smartwatch
Samsung Galaxy L305 40mm LTE Smart Watch 7 Green (8806095684536) - EU Spec,8004-131408,190.00,8806095684536,29,Samsung Galaxy L305 40mm LTE Smart Watch 7 Green,False,N/A,N/A,Green,smartwatch
Samsung Galaxy R390 Fit3 Silver (8806095362168) - EU Spec,8004-131602,38.00,8806095362168,29,Samsung Galaxy R390 Fit3 Silver,False,N/A,N/A,Silver,smartwatch
Samsung Galaxy L310 44mm Smart Watch 7 Green (8806095660981) - EU Spec,8004-131372,191.00,8806095660981,29,Samsung Galaxy L310 44mm Smart Watch 7 Green,False,N/A,N/A,Green,smartwatch
Samsung Galaxy L310 44mm Smart Watch 7 Silver (8806095660684) - EU Spec,8004-131458,191.00,8806095660684,29,Samsung Galaxy L310 44mm Smart Watch 7 Silver,False,N/A,N/A,Silver,smartwatch
Samsung Galaxy R960 47mm Smart Watch 6 Classic Black (8806095038841) - EU Spec,8004-130315,177.00,8806095038841,29,Samsung Galaxy R960 47mm Smart Watch 6 Classic Black,False,N/A,N/A,Black,smartwatch
Samsung Galaxy R960 47mm Smart Watch 6 Classic Silver (8806095038797) - EU Spec,8004-130316,177.00,8806095038797,29,Samsung Galaxy R960 47mm Smart Watch 6 Classic Silver,False,N/A,N/A,Silver,smartwatch
Samsung Galaxy R965 47mm Smart Watch 6 Classic LTE Silver (8806095076492) - EU Spec,8004-130384,187.00,8806095076492,19,Samsung Galaxy R965 47mm Smart Watch 6 Classic LTE Silver,False,N/A,N/A,Silver,smartwatch
Samsung R861 Galaxy Watch FE Silver (8806095724164) - EU Spec,43003-131460,97.00,8806095724164,29,Samsung R861 Galaxy Watch FE Silver,False,N/A,N/A,Silver,accessory
Samsung Galaxy L705 47mm LTE Smart Watch Ultra Titanium White (8806095683331) - EU Spec,8004-131399,340.00,8806095683331,19,Samsung Galaxy L705 47mm LTE Smart Watch Ultra Titanium White,False,N/A,N/A,White,smartwatch
Samsung R861 Galaxy Watch FE Black (8806095724218) - EU Spec,8004-131484,97.00,8806095724218,4,Samsung R861 Galaxy Watch FE Black,False,N/A,N/A,Black,smartwatch
Samsung R861 Galaxy Watch FE Pink Gold (8806095724287) - EU Spec,8004-131466,97.00,8806095724287,19,Samsung R861 Galaxy Watch FE Pink Gold,False,N/A,N/A,Gold,smartwatch
Apple MK2K3TY-A iPad 9th Gen. 10.2 inch (2021) Wifi 64GB Space Grey (194252515754) - EU Spec,2002-127138,265.00,194252515754,4,Apple MK2K3TY-A iPad 9th Gen.,False,64GB,N/A,Gray,tablet
Apple MK2L3TY-A iPad 9th Gen. 10.2 inch (2021) Wifi 64GB Silver (194252516027) - EU Spec,2002-127137,265.00,194252516027,29,Apple MK2L3TY-A iPad 9th Gen.,False,64GB,N/A,Silver,tablet
Apple iPad 10th Gen. 10.9 inch (2024) Wifi 64GB Blue MCM84TY-A (195950068900) - EU Spec,2002-131579,305.00,195950068900,19,Apple iPad 10th Gen.,True,64GB,N/A,Blue,tablet
Apple iPad 10th Gen. 10.9 inch (2024) Wifi 64GB Pink MCMC4TY-A (195950069020) - EU Spec,2002-131683,305.00,195950069020,19,Apple iPad 10th Gen.,True,64GB,N/A,Pink,tablet
Apple iPad 10th Gen. 10.9 inch (2024) Wifi 64GB Silver MCM74TY-A (195950068849) - EU Spec,2002-131580,305.00,195950068849,19,Apple iPad 10th Gen.,True,64GB,N/A,Silver,tablet
Apple iPad 10th Gen. 10.9 inch (2024) Wifi 64GB Yellow MCM94TY-A (195950068962) - EU Spec,2002-131581,305.00,195950068962,4,Apple iPad 10th Gen.,True,64GB,N/A,Yellow,tablet
Samsung X210 Galaxy Tab A9+ 11 wifi (2023) 64GB 4GB RAM Silver (8806095306209) - EU Spec,2005-130955,125.00,8806095306209,50,Samsung X210 Galaxy Tab A9+ 11 wifi  64GB 4GB RAM Silver  - EU Spec,False,64GB,4GB,Silver,tablet
Samsung X210 Galaxy Tab A9+ 11 wifi (2023) 64GB 4GB RAM Navy (8806095306278) - EU Spec,2005-130956,125.00,8806095306278,4,Samsung X210 Galaxy Tab A9+ 11 wifi  64GB 4GB RAM Navy  - EU Spec,False,64GB,4GB,Blue,tablet
Samsung X210 Galaxy Tab A9+ 11 wifi (2023) 64GB 4GB RAM Graphite (8806095306261) - EU Spec,2005-130981,125.00,8806095306261,50,Samsung X210 Galaxy Tab A9+ 11 wifi  64GB 4GB RAM Graphite  - EU Spec,False,64GB,4GB,Gray,tablet
Samsung X216B Galaxy Tab A9+ 11 5G (2023) 128GB 8GB RAM Graphite (8806095306155) - EU Spec,2005-131214,205.00,8806095306155,4,Samsung X216B Galaxy Tab A9+ 11 5G  128GB 8GB RAM Graphite  - EU Spec,False,128GB,8GB,Gray,tablet
Samsung X216B Galaxy Tab A9+ 11 5G (2023) 64GB 4GB RAM Silver (8806095306063) - EU Spec,2005-130932,162.00,8806095306063,19,Samsung X216B Galaxy Tab A9+ 11 5G  64GB 4GB RAM Silver  - EU Spec,False,64GB,4GB,Silver,tablet
Samsung T636B Galaxy Tab Active 4 Pro 10.1 5G 6GB RAM 128GB Enterprise Edition Black (8806094626278) - EU Spec,2005-129108,430.00,8806094626278,19,Samsung T636B Galaxy Tab Active 4 Pro 10.1 5G 6GB RAM 128GB Enterprise Edition Black  - EU Spec,False,128GB,6GB,Black,tablet
Samsung X306B Galaxy Tab Active5 5G EE 128GB 6GB RAM Green (8806095466934) - EU Spec,2005-131216,330.00,8806095466934,49,Samsung X306B Galaxy Tab Active5 5G EE 128GB 6GB RAM Green  - EU Spec,False,128GB,6GB,Green,tablet
Samsung X826B Galaxy Tab S10 Plus 12.4 5G 256GB 12GB RAM Silver (8806095609492) - EU Spec,2005-131563,835.00,8806095609492,19,Samsung X826B Galaxy Tab S10 Plus 12.4 5G 256GB 12GB RAM Silver  - EU Spec,False,256GB,12GB,Silver,tablet
Samsung X826B Galaxy Tab S10 Plus 12.4 5G 512GB 12GB RAM Platinum Silver (8806095609553) - EU Spec,2005-131682,895.00,8806095609553,4,Samsung X826B Galaxy Tab S10 Plus 12.4 5G 512GB 12GB RAM Platinum Silver  - EU Spec,False,512GB,12GB,Silver,tablet
Samsung X920 Galaxy Tab S10 Ultra WiFi 256GB 12GB RAM Moonstone Gray (8806095596921) - EU Spec,2005-131556,812.00,8806095596921,19,Samsung X920 Galaxy Tab S10 Ultra WiFi 256GB 12GB RAM Moonstone Gray  - EU Spec,False,256GB,12GB,Gray,tablet
Samsung X926B Galaxy Tab S10 Ultra 5G 256GB 12GB RAM Platinum Silver (8806095601946) - EU Spec,2005-131648,880.00,8806095601946,4,Samsung X926B Galaxy Tab S10 Ultra 5G 256GB 12GB RAM Platinum Silver  - EU Spec,False,256GB,12GB,Silver,tablet
Samsung P620 Galaxy Tab S6 Lite (2024) 10.4 Wifi 128GB 4GB RAM Gray (8806095573113) - EU Spec,2005-131243,195.00,8806095573113,19,Samsung P620 Galaxy Tab S6 Lite  10.4 Wifi 128GB 4GB RAM Gray  - EU Spec,False,128GB,4GB,Gray,tablet
Samsung X510 Galaxy Tab S9 FE 10.9 Wifi (2023) 6GB RAM 128GB Mint (8806095156644) - EU Spec,2005-130481,305.00,8806095156644,4,Samsung X510 Galaxy Tab S9 FE 10.9 Wifi  6GB RAM 128GB Mint  - EU Spec,False,128GB,6GB,N/A,tablet
Samsung X610 Galaxy Tab S9 FE+ 12.4 Wifi (2023) 8GB RAM 128GB Gray (8806095160788) - EU Spec,2005-130484,405.00,8806095160788,19,Samsung X610 Galaxy Tab S9 FE+ 12.4 Wifi  8GB RAM 128GB Gray  - EU Spec,False,128GB,8GB,Gray,tablet
Samsung X610 Galaxy Tab S9 FE+ 12.4 Wifi (2023) 8GB RAM 128GB Silver (8806095159454) - EU Spec,2005-130485,405.00,8806095159454,19,Samsung X610 Galaxy Tab S9 FE+ 12.4 Wifi  8GB RAM 128GB Silver  - EU Spec,False,128GB,8GB,Silver,tablet
Ulefone Armor Pad 2 Wifi 256GB 8GB RAM Black (6937748735700) - EU Spec,1042-130623-20657,212.00,6937748735700,19,Ulefone Armor Pad 2 Wifi 256GB 8GB RAM Black  - EU Spec,False,256GB,8GB,Black,tablet
Ulefone Armor Pad 2 Wifi 256GB 8GB RAM Yellow (6937748735717) - EU Spec,1042-130624-20656,215.00,6937748735717,19,Ulefone Armor Pad 2 Wifi 256GB 8GB RAM Yellow  - EU Spec,False,256GB,8GB,Yellow,tablet
